Index	Loss
0	1.010735
1	1.572710
2	1.868665
3	1.859302
4	1.515698
5	1.571442
6	1.586017
7	1.839414
8	1.490736
9	1.697365
10	1.585930
11	1.386208
12	2.024858
13	2.122402
14	2.028060
15	1.438461
16	1.635036
17	1.969785
18	1.474744
19	1.597726
20	2.122427
21	1.928592
22	1.412741
23	1.113534
24	1.617324
25	1.495689
26	1.658298
27	1.835795
28	1.460071
29	1.370116
30	1.458004
31	1.697231
32	1.931525
33	1.668495
34	1.526204
35	1.674002
36	1.613073
37	1.694017
38	1.572720
39	1.553597
40	2.160361
41	1.880838
42	1.802092
43	1.905420
44	1.690282
45	1.272330
46	2.022778
47	1.872961
48	1.753947
49	1.312055
50	2.128694
51	1.674971
52	1.458182
53	1.474023
54	1.480513
55	1.863026
56	2.086034
57	1.606861
58	1.195265
59	1.620469
60	1.790433
61	1.647769
62	1.618146
63	1.327572
64	2.053012
65	1.497102
66	1.600481
67	1.833600
68	1.926860
69	1.782210
70	1.805511
71	1.864639
72	1.698197
73	2.070250
74	1.419366
75	1.542767
76	1.729790
77	1.847409
78	1.585796
79	1.339157
80	2.303948
81	1.417160
82	1.683488
83	1.539628
84	2.167263
85	2.107788
86	1.981324
87	1.741331
88	1.835942
89	1.663965
90	1.422030
91	1.812728
92	1.358409
93	1.213142
94	1.667607
95	1.471629
96	1.935684
97	2.216984
98	1.758758
99	1.545384
100	1.803334
101	1.309681
102	1.610501
103	1.698817
104	1.157223
105	1.676770
106	1.677761
107	1.728248
108	1.954278
109	2.095065
110	1.789838
111	1.804895
112	1.137466
113	1.753300
114	1.719653
115	1.164851
116	1.490042
117	1.143456
118	1.778262
119	1.974605
120	1.830055
121	1.479584
122	1.612661
123	2.200554
124	1.799591
125	1.514155
126	1.839682
127	1.634345
128	1.739712
129	1.589736
130	1.725102
131	1.925791
132	1.419741
133	1.914641
134	1.755612
135	1.584273
136	1.508484
137	1.691378
138	1.908828
139	1.596149
140	1.312322
141	1.639629
142	1.158824
143	1.232129
144	1.823296
145	1.669756
146	1.822902
147	1.871190
148	1.492192
149	1.795745
150	1.934561
151	1.865635
152	1.669772
153	1.767127
154	1.567544
155	1.728992
156	1.374777
157	1.408655
158	2.204236
159	1.951500
160	2.072525
161	1.577500
162	1.934531
163	1.325213
164	1.598075
165	1.343369
166	1.382996
167	1.887216
168	1.381030
169	1.956111
170	1.511314
171	1.587259
172	2.088062
173	1.546454
174	2.013230
175	1.624068
176	1.479581
177	1.299526
178	1.768511
179	1.799133
180	1.392254
181	1.744009
182	1.549362
183	1.501287
184	1.663751
185	1.661805
186	1.587012
187	1.575523
188	1.524496
189	1.702469
190	1.944574
