Index	Loss
0	1.171625
1	1.668830
2	1.880015
3	1.878476
4	1.596063
5	1.618213
6	1.669899
7	1.891883
8	1.562845
9	1.780989
10	1.681101
11	1.546772
12	2.058824
13	2.133771
14	2.009105
15	1.524803
16	1.755227
17	2.005488
18	1.534405
19	1.683241
20	2.140315
21	1.977915
22	1.516089
23	1.241665
24	1.676269
25	1.560255
26	1.704513
27	1.927637
28	1.552159
29	1.413265
30	1.546636
31	1.737359
32	1.971518
33	1.762517
34	1.602100
35	1.727314
36	1.653899
37	1.723734
38	1.643396
39	1.630592
40	2.148691
41	1.888308
42	1.862917
43	1.954984
44	1.742339
45	1.366697
46	2.052801
47	1.957383
48	1.758946
49	1.392869
50	2.149061
51	1.700073
52	1.560162
53	1.545783
54	1.539535
55	1.896804
56	2.068916
57	1.670811
58	1.318299
59	1.655239
60	1.846425
61	1.721874
62	1.678215
63	1.425326
64	2.059546
65	1.600237
66	1.662282
67	1.847191
68	1.945726
69	1.814574
70	1.872654
71	1.921367
72	1.754255
73	2.058494
74	1.523813
75	1.600984
76	1.809174
77	1.889055
78	1.617821
79	1.425177
80	2.288184
81	1.503552
82	1.737297
83	1.596561
84	2.176637
85	2.116632
86	1.990873
87	1.793882
88	1.884645
89	1.687544
90	1.496405
91	1.852162
92	1.431307
93	1.330737
94	1.735587
95	1.557688
96	1.970173
97	2.257495
98	1.791437
99	1.620324
100	1.826632
101	1.403227
102	1.704867
103	1.722418
104	1.264470
105	1.747352
106	1.746020
107	1.804652
108	1.961662
109	2.129456
110	1.817712
111	1.845167
112	1.273038
113	1.806930
114	1.778782
115	1.286024
116	1.557560
117	1.256392
118	1.861041
119	1.985542
120	1.876054
121	1.561348
122	1.674142
123	2.195747
124	1.799083
125	1.578179
126	1.888565
127	1.715963
128	1.786752
129	1.617493
130	1.832904
131	1.974391
132	1.487557
133	1.944325
134	1.835201
135	1.668557
136	1.566204
137	1.701355
138	1.948087
139	1.671572
140	1.402482
141	1.656833
142	1.361168
143	1.363006
144	1.862211
145	1.705238
146	1.875260
147	1.887051
148	1.570489
149	1.864865
150	1.977951
151	1.899403
152	1.722411
153	1.793623
154	1.678155
155	1.743850
156	1.474519
157	1.478085
158	2.182893
159	2.002950
160	2.060648
161	1.640932
162	1.959218
163	1.436410
164	1.667853
165	1.415561
166	1.464060
167	1.936328
168	1.466858
169	1.967753
170	1.596657
171	1.609958
172	2.081867
173	1.594712
174	2.043015
175	1.649213
176	1.550254
177	1.390757
178	1.809978
179	1.835132
180	1.491244
181	1.810192
182	1.642963
183	1.557763
184	1.723974
185	1.746023
186	1.680003
187	1.682998
188	1.670569
189	1.737649
190	2.000170
191	1.739418
192	1.307011
193	1.540420
194	1.665286
195	1.697596
196	1.908026
197	1.838561
198	1.780715
199	1.678978
200	1.560976
201	2.051813
202	1.233672
203	1.929869
204	2.126391
205	1.915401
206	1.793914
207	1.911874
208	1.702514
209	1.678069
210	1.891220
211	1.254536
212	1.809322
213	1.963591
214	1.869042
215	1.338812
216	1.725675
217	1.114668
218	1.645550
219	1.697281
220	1.333709
221	1.988986
222	1.890074
223	1.543385
224	2.076177
225	1.968269
226	1.719478
227	1.699362
228	1.764213
229	1.546629
230	1.485635
231	1.547299
232	1.839452
233	1.751665
234	1.779581
235	1.493809
236	1.860088
237	1.978321
238	1.566077
239	1.608868
240	1.582504
241	1.571781
242	1.667199
243	2.059415
244	1.690342
245	1.945658
246	1.713324
247	1.853893
248	1.569303
249	1.277910
250	1.929740
251	1.731708
252	1.673093
253	1.307638
254	1.669905
255	1.916118
256	1.504889
257	1.922728
258	1.970606
259	1.694062
260	2.140158
261	1.499205
262	1.589760
263	1.967047
264	1.692186
265	2.076406
266	1.545188
267	1.900600
268	1.423052
269	1.784607
270	1.592915
271	1.407814
272	1.753558
273	1.592872
274	1.967426
275	2.051594
276	1.669403
277	1.304273
278	1.741772
279	1.610312
280	2.051394
281	1.916266
282	1.552820
283	1.586470
284	1.485477
285	1.602491
286	1.820527
287	1.754694
288	1.354551
289	2.064972
290	1.750460
291	1.573342
292	1.505942
293	1.461012
294	1.429576
295	1.803060
296	1.515194
297	1.380678
298	2.189847
299	1.770542
300	1.537822
301	1.619212
302	1.553603
303	2.066800
304	1.527783
305	1.702060
306	1.656099
307	1.476161
308	2.091059
309	1.494420
310	1.667285
311	1.253631
312	1.427124
313	1.952697
314	1.615314
315	2.376518
316	1.973309
317	1.351839
318	2.031316
319	1.327248
320	1.490263
321	1.462389
322	1.243050
323	1.946619
324	1.674767
325	1.655332
326	1.692138
327	1.921358
328	1.723658
329	1.852430
330	1.789451
331	1.522444
332	1.682432
333	1.494968
334	1.554053
335	1.661686
336	1.808010
337	1.930400
338	1.513186
339	1.441594
340	1.953432
341	2.020430
342	1.837176
343	1.853298
344	1.825125
345	1.562065
346	1.513628
347	1.420837
348	1.775330
349	1.906861
350	1.577924
351	1.822382
352	1.480197
353	1.925349
354	1.968445
355	1.566720
356	1.559798
357	1.465968
358	1.891181
359	1.408865
360	1.328149
361	1.475198
362	1.731427
363	1.609770
364	1.615600
365	1.875203
366	1.636154
367	1.547531
368	1.738208
369	1.637346
370	1.781215
371	2.472704
372	1.484904
373	1.678836
374	1.526221
375	1.657763
376	1.499141
377	2.067060
378	1.878839
379	2.042506
380	1.571314
381	1.972897
382	1.874546
383	1.163695
384	1.665161
385	1.442633
386	1.523575
387	1.986678
388	1.505085
389	1.639820
390	1.810253
391	1.789475
392	1.655690
393	1.626917
394	2.198756
395	1.686262
396	1.417644
397	1.946166
398	1.490308
399	1.108335
400	1.747940
401	1.752144
402	1.358072
403	1.955408
404	1.433847
405	1.807978
406	2.512469
407	1.509139
408	1.969264
409	1.561626
410	1.681307
411	1.914155
412	2.032571
413	1.612752
414	1.794298
415	1.342412
416	2.071552
417	1.681845
418	1.619197
419	1.419043
420	1.689847
421	1.563999
422	1.469815
423	1.838254
424	1.713554
425	1.459671
426	1.534004
427	1.357539
428	1.618333
429	1.747535
430	1.555622
431	1.656150
432	1.773050
433	1.401747
434	1.422402
435	1.856051
436	1.923139
437	1.876921
438	1.768827
439	1.837737
440	1.463399
441	1.442096
