Index	Loss
0	1.256961
1	1.644356
2	1.803049
3	1.750426
4	1.528534
5	1.561262
6	1.583116
7	1.799368
8	1.530087
9	1.687781
10	1.612302
11	1.514689
12	1.917706
13	1.947132
14	1.842141
15	1.472699
16	1.656299
17	1.873740
18	1.472316
19	1.568327
20	1.958222
21	1.855112
22	1.534331
23	1.300076
24	1.670140
25	1.552897
26	1.642612
27	1.790335
28	1.559709
29	1.396549
30	1.563666
31	1.632115
32	1.838083
33	1.660370
34	1.604947
35	1.649434
36	1.609377
37	1.679563
38	1.581239
39	1.551286
40	2.024837
41	1.819901
42	1.756054
43	1.848981
44	1.651442
45	1.386673
46	1.918452
47	1.810244
48	1.686103
49	1.362450
50	1.953609
51	1.650010
52	1.556694
53	1.504611
54	1.513865
55	1.772599
56	1.903331
57	1.587047
58	1.342119
59	1.598251
60	1.726492
61	1.649750
62	1.621436
63	1.376548
64	1.947038
65	1.570534
66	1.597649
67	1.797384
68	1.820546
69	1.724370
70	1.785072
71	1.785871
72	1.709920
73	1.947509
74	1.496796
75	1.596195
76	1.682845
77	1.799861
78	1.598319
79	1.400790
80	2.070997
81	1.380703
82	1.620101
83	1.560337
84	2.045618
85	2.006578
86	1.862993
87	1.687093
88	1.795310
89	1.598202
90	1.464271
91	1.757984
92	1.436880
93	1.393363
94	1.617568
95	1.533617
96	1.845210
97	2.091439
98	1.727840
99	1.595265
100	1.698735
101	1.401299
102	1.603076
103	1.653330
104	1.254293
105	1.660167
106	1.629222
107	1.678647
108	1.858833
109	1.942814
110	1.720941
111	1.769688
112	1.305922
113	1.737671
114	1.677919
115	1.354350
116	1.525625
117	1.311802
118	1.746515
119	1.877301
120	1.726067
121	1.516304
122	1.599824
123	2.007031
124	1.705123
125	1.541604
126	1.793339
127	1.650800
128	1.673129
129	1.540950
130	1.668806
131	1.830818
132	1.494972
133	1.809477
134	1.725301
135	1.610560
136	1.518628
137	1.646009
138	1.789574
139	1.618916
140	1.338624
141	1.620402
142	1.420667
143	1.408571
144	1.753233
145	1.655629
146	1.814264
147	1.806670
148	1.546722
149	1.767466
150	1.891408
151	1.770438
152	1.623745
153	1.646885
154	1.596473
155	1.684333
156	1.480755
157	1.421838
158	2.063877
159	1.836721
160	1.931519
161	1.598901
162	1.858545
163	1.418635
164	1.623433
165	1.389611
166	1.466856
167	1.851335
168	1.504751
169	1.856479
170	1.559339
171	1.574104
172	1.940702
173	1.570426
174	1.925330
175	1.609698
176	1.538090
177	1.377079
178	1.643398
179	1.738624
180	1.436010
181	1.711535
182	1.548187
183	1.577053
184	1.613152
185	1.681051
186	1.614585
187	1.550600
188	1.557404
189	1.689474
190	1.808079
191	1.689841
192	1.348804
193	1.533107
194	1.639179
195	1.621554
196	1.773557
197	1.738596
198	1.707194
199	1.624719
200	1.568460
201	1.900780
202	1.310272
203	1.750402
204	1.930456
205	1.815127
206	1.714847
207	1.820255
208	1.607878
209	1.581464
210	1.842134
211	1.291939
212	1.702886
213	1.868092
214	1.768325
215	1.355083
216	1.674643
217	1.248886
218	1.509513
219	1.639860
220	1.355146
221	1.863513
222	1.863942
223	1.514840
224	1.867933
225	1.841192
226	1.665743
227	1.639119
228	1.659428
229	1.508802
230	1.458537
231	1.515414
232	1.747398
233	1.647490
234	1.690890
235	1.494559
236	1.666769
237	1.844630
238	1.513810
239	1.549417
240	1.511692
241	1.550373
242	1.612069
243	1.921686
244	1.635670
245	1.835678
246	1.613852
247	1.732620
248	1.545388
249	1.335551
250	1.809325
251	1.587260
252	1.633403
253	1.305491
254	1.638578
255	1.808750
256	1.485190
257	1.803239
258	1.841234
259	1.620289
260	1.984858
261	1.427442
262	1.558177
263	1.865589
264	1.600076
265	1.953489
266	1.521562
267	1.803381
268	1.413926
269	1.675701
270	1.543074
271	1.389290
272	1.687667
273	1.529545
274	1.835544
275	1.931556
276	1.610384
277	1.297993
278	1.657435
279	1.567864
280	1.889628
281	1.769570
282	1.533998
283	1.514630
284	1.425016
285	1.596263
286	1.717267
287	1.627873
288	1.377953
289	1.944114
290	1.685614
291	1.516288
292	1.464521
293	1.453817
294	1.336225
295	1.714177
296	1.474977
297	1.386323
298	2.101896
299	1.713523
300	1.539664
301	1.546323
302	1.519404
303	1.978750
304	1.472822
305	1.616089
306	1.566215
307	1.468196
308	1.950119
309	1.440433
310	1.614603
311	1.287498
312	1.429008
313	1.810169
314	1.510757
315	2.228349
316	1.840360
317	1.325796
318	1.929545
319	1.415806
320	1.477190
321	1.437249
322	1.254088
323	1.790295
324	1.603049
325	1.625946
326	1.659867
327	1.814587
328	1.685724
329	1.671921
330	1.677463
331	1.540019
332	1.627433
333	1.495346
334	1.519728
335	1.595252
336	1.687496
337	1.799060
338	1.540320
339	1.434851
340	1.783755
341	1.911398
342	1.708075
343	1.797829
344	1.743310
345	1.519502
346	1.514835
347	1.392858
348	1.696806
349	1.799748
350	1.526694
351	1.730136
352	1.465767
353	1.798130
354	1.839607
355	1.504178
356	1.521873
357	1.480322
358	1.806279
359	1.370012
360	1.300210
361	1.409531
362	1.630647
363	1.599997
364	1.539139
365	1.792471
366	1.610625
367	1.467868
368	1.656748
369	1.607793
370	1.665039
371	2.315747
372	1.444625
373	1.589228
374	1.529961
375	1.655589
376	1.418125
377	1.925721
378	1.773658
379	1.980697
380	1.544034
381	1.865593
382	1.803868
383	1.185660
384	1.601751
385	1.404487
386	1.489231
387	1.917845
388	1.487165
389	1.546639
390	1.687303
391	1.723441
392	1.617599
